ts,o,h,l,c,oi,vix,oi_change,ema_20,dist_from_ema,rsi,std_20,bb_upper,bb_lower,bb_width,oi_ma,oi_slope,price_change,sentiment_score,future_high,future_low,target
2025-12-12 14:00:00+05:30,26025.85,26056.3,26024.2,26042.9,491140,10.2,1625.0,26015.764179108453,0.0010430530006625388,73.58436332279514,24.929127964143195,26065.62243503674,25965.905923180166,0.003832926496798858,489463.0,0.003426203819287668,0.0006570403215271359,1,26056.3,26015.8,0
2025-12-12 14:15:00+05:30,26043.15,26045.5,26026.95,26034.1,491985,10.16,845.0,26017.51044776479,0.000637630270909827,72.39819004524767,25.5777936170378,26068.666034998867,25966.354860530715,0.003932396786139913,490165.0,0.0037130354064447684,-0.0003379039968668396,-1,26057.6,26015.8,0
2025-12-12 14:30:00+05:30,26034.55,26039.5,26018.7,26026.95,492440,10.15,455.0,26018.409452739572,0.00032825016748014936,62.208713272543314,25.647173333527302,26069.703799406627,25967.115106072517,0.003942927161648919,490932.0,0.0030717085054549308,-0.00027463979934005955,-1,26057.6,26015.8,0
2025-12-12 14:45:00+05:30,26027.2,26031.2,26015.8,26026.95,492440,10.13,0.0,26019.222838192945,0.0002969789626349977,55.54231227651986,25.911821499482613,26071.046481191912,25967.39919519398,0.003983488924419061,491504.0,0.0019043588658484976,0.0,0,26057.6,25913.65,0
2025-12-12 15:00:00+05:30,26033.1,26057.6,26033.1,26053.95,493025,10.11,585.0,26022.530186936474,0.0012074080743808618,62.99603174603144,27.074594204083546,26076.67937534464,25968.380998528308,0.0041617158684553604,492206.0,0.0016639374570809782,0.00103738624771621,1,26057.6,25910.25,0
2025-12-12 15:15:00+05:30,26053.35,26054.5,26037.15,26043.0,492245,10.07,-780.0,26024.479692942525,0.000711649465272412,54.949494949495076,24.623739481496905,26073.727171905517,25975.232213979532,0.0037847042126531003,492427.0,-0.0003695979302515906,-0.0004202817614987753,0,26054.5,25904.75,0
2025-12-15 09:15:00+05:30,25930.05,26007.2,25913.65,25918.6,490165,10.58,-2080.0,26014.395912662287,-0.0036824192644681142,31.530139103554916,30.8376504327183,26076.071213527724,25952.72061179685,0.004741628525413332,492063.0,-0.0038572296636812764,-0.004776715432169953,0,26007.2,25904.75,1
2025-12-15 09:30:00+05:30,25918.75,25936.9,25910.25,25917.15,489190,10.52,-975.0,26005.13439717064,-0.0033833471431784744,28.937947494034276,35.575858442873304,26076.286114056387,25933.982680284895,0.005472128372733008,491413.0,-0.004523689849474882,-5.5944379711792e-05,0,25978.1,25904.75,0
2025-12-15 09:45:00+05:30,25916.8,25953.0,25904.75,25951.6,492050,10.4,2860.0,26000.03588315439,-0.0018629160118110615,38.347343945626754,37.938485095161475,26075.91285334471,25924.158912964067,0.00583668195931093,491335.0,0.0014552189443048022,0.0013292356605567601,1,25981.3,25904.75,0
2025-12-15 10:00:00+05:30,25951.9,25962.2,25937.5,25961.35,493220,10.38,1170.0,25996.351513330163,-0.001346400986777559,39.238498149127,39.610313648952925,26075.572140628068,25917.130886032257,0.006094749661873405,491374.0,0.0037568125297634796,0.00037569937884374127,1,25997.55,25937.5,0
